CRF++: Yet Another CRF Tool Kit
Copyright (C) 2005-2013 Taku Kudo, All rights reserved.

reading training data: 100.. 200.. 300.. 400.. 500.. 600.. 700.. 800.. 900.. 1000.. 1100.. 1200.. 1300.. 1400.. 1500.. 1600.. 1700.. 1800.. 1900.. 2000.. 2100.. 2200.. 2300.. 2400.. 2500.. 2600.. 2700.. 2800.. 2900.. 3000.. 3100.. 3200.. 3300.. 3400.. 3500.. 3600.. 3700.. 3800.. 3900.. 4000.. 4100.. 4200.. 4300.. 4400.. 4500.. 4600.. 4700.. 4800.. 4900.. 5000.. 5100.. 5200.. 5300.. 5400.. 5500.. 5600.. 5700.. 5800.. 5900.. 6000.. 6100.. 6200.. 6300.. 6400.. 6500.. 6600.. 6700.. 6800.. 6900.. 7000.. 7100.. 7200.. 7300.. 7400.. 7500.. 7600.. 7700.. 7800.. 7900.. 8000.. 8100.. 8200.. 8300.. 8400.. 8500.. 8600.. 8700.. 8800.. 8900.. 9000.. 9100.. 9200.. 9300.. 9400.. 9500.. 9600.. 9700.. 9800.. 9900.. 10000.. 10100.. 10200.. 10300.. 10400.. 10500.. 10600.. 10700.. 10800.. 10900.. 11000.. 11100.. 11200.. 11300.. 11400.. 11500.. 11600.. 11700.. 11800.. 11900.. 12000.. 12100.. 12200.. 12300.. 12400.. 12500.. 12600.. 12700.. 12800.. 12900.. 13000.. 13100.. 13200.. 13300.. 13400.. 13500.. 13600.. 13700.. 13800.. 13900.. 14000.. 14100.. 14200.. 14300.. 14400.. 14500.. 14600.. 14700.. 14800.. 14900.. 15000.. 15100.. 15200.. 15300.. 15400.. 15500.. 15600.. 15700.. 15800.. 15900.. 16000.. 16100.. 16200.. 16300.. 16400.. 16500.. 16600.. 16700.. 16800.. 16900.. 17000.. 17100.. 17200.. 17300.. 17400.. 17500.. 17600.. 17700.. 17800.. 17900.. 18000.. 18100.. 18200.. 18300.. 18400.. 18500.. 18600.. 18700.. 18800.. 18900.. 19000.. 
Done!50.22 s

Number of sentences: 19054
Number of features:  12807572
Number of thread(s): 64
Freq:                1
eta:                 0.00010
C:                   4.50000
shrinking size:      20
iter=0 terr=0.67958 serr=1.00000 act=12807572 obj=2531994.56328 diff=1.00000
iter=1 terr=0.45122 serr=0.97056 act=12807572 obj=2134833.60162 diff=0.15686
iter=2 terr=0.41922 serr=0.93707 act=12807572 obj=1895734.96572 diff=0.11200
iter=3 terr=0.33968 serr=0.93860 act=12807572 obj=1703923.13183 diff=0.10118
iter=4 terr=0.42685 serr=0.94872 act=12807572 obj=1223488.14486 diff=0.28196
iter=5 terr=0.37237 serr=0.94673 act=12807572 obj=1094696.59438 diff=0.10527
iter=6 terr=0.33605 serr=0.93975 act=12807572 obj=944472.67412 diff=0.13723
iter=7 terr=0.32408 serr=0.93933 act=12807572 obj=844520.30361 diff=0.10583
iter=8 terr=0.46128 serr=0.95602 act=12807572 obj=1265763.70599 diff=0.49880
iter=9 terr=0.35061 serr=0.93959 act=12807572 obj=817554.28584 diff=0.35410
iter=10 terr=0.33577 serr=0.93844 act=12807572 obj=744827.34154 diff=0.08896
iter=11 terr=0.32533 serr=0.93907 act=12807572 obj=698031.05112 diff=0.06283
iter=12 terr=0.32269 serr=0.93839 act=12807572 obj=668983.42717 diff=0.04161
iter=13 terr=0.30580 serr=0.93350 act=12807572 obj=628359.57257 diff=0.06072
iter=14 terr=0.28468 serr=0.93046 act=12807572 obj=602887.75506 diff=0.04054
iter=15 terr=0.26148 serr=0.92889 act=12807572 obj=587739.11458 diff=0.02513
iter=16 terr=0.25802 serr=0.92605 act=12807572 obj=574867.75182 diff=0.02190
iter=17 terr=0.25329 serr=0.92175 act=12807572 obj=569004.74675 diff=0.01020
iter=18 terr=0.23948 serr=0.91619 act=12807572 obj=552535.17679 diff=0.02894
iter=19 terr=0.22946 serr=0.91640 act=12807572 obj=537000.09796 diff=0.02812
iter=20 terr=0.21955 serr=0.91430 act=12807572 obj=523641.87488 diff=0.02488
iter=21 terr=0.21532 serr=0.91199 act=12807572 obj=516494.67891 diff=0.01365
iter=22 terr=0.21348 serr=0.90905 act=12807572 obj=513643.94822 diff=0.00552
iter=23 terr=0.21354 serr=0.90648 act=12807572 obj=509164.19116 diff=0.00872
iter=24 terr=0.21425 serr=0.90369 act=12807572 obj=499395.82107 diff=0.01919
iter=25 terr=0.20965 serr=0.90464 act=12807572 obj=488613.57907 diff=0.02159
iter=26 terr=0.20905 serr=0.90663 act=12807572 obj=479994.14331 diff=0.01764
iter=27 terr=0.20794 serr=0.90642 act=12807572 obj=477267.71934 diff=0.00568
iter=28 terr=0.20543 serr=0.90595 act=12807572 obj=471678.17542 diff=0.01171
iter=29 terr=0.19914 serr=0.90186 act=12807572 obj=460856.10511 diff=0.02294
iter=30 terr=0.19037 serr=0.89462 act=12807572 obj=443924.67775 diff=0.03674
iter=31 terr=0.17879 serr=0.89719 act=12807572 obj=434697.56074 diff=0.02079
